Date,Close,High,Low,Open,Volume
2025-08-01 16:50:00+00:00,521.9000244140625,522.844970703125,521.8499755859375,522.8400268554688,278573
2025-08-01 16:55:00+00:00,521.0449829101562,522.030029296875,520.8900146484375,522.030029296875,300520
2025-08-01 17:00:00+00:00,521.5800170898438,521.677978515625,520.8599853515625,521.030029296875,372230
2025-08-01 17:05:00+00:00,522.0999755859375,522.510009765625,521.3699951171875,521.5100708007812,240544
2025-08-01 17:10:00+00:00,522.0499877929688,522.219970703125,521.8499755859375,522.0399780273438,208309
2025-08-01 17:15:00+00:00,522.7449951171875,522.8499755859375,521.989990234375,522.0,174847
2025-08-01 17:20:00+00:00,522.469970703125,523.1992797851562,522.4500732421875,522.75,370699
2025-08-01 17:25:00+00:00,523.2849731445312,523.2999877929688,522.3311767578125,522.4500122070312,140474
2025-08-01 17:30:00+00:00,523.5800170898438,524.02001953125,523.239990234375,523.239990234375,216747
2025-08-01 17:35:00+00:00,523.1500244140625,523.6146240234375,522.72998046875,523.5900268554688,146614
2025-08-01 17:40:00+00:00,523.1799926757812,523.6300048828125,523.030029296875,523.1699829101562,143311
2025-08-01 17:45:00+00:00,523.3499755859375,523.4000244140625,522.8400268554688,523.114990234375,168647
2025-08-01 17:50:00+00:00,523.6712036132812,523.8800048828125,523.4099731445312,523.4099731445312,140952
2025-08-01 17:55:00+00:00,523.4149780273438,523.7100219726562,523.22998046875,523.6849975585938,191576
2025-08-01 18:00:00+00:00,523.5999145507812,523.760009765625,523.219970703125,523.405029296875,190419
2025-08-01 18:05:00+00:00,522.9099731445312,523.7100219726562,522.4000244140625,523.5700073242188,213162
2025-08-01 18:10:00+00:00,522.969970703125,523.2899780273438,522.6900024414062,522.885009765625,184405
2025-08-01 18:15:00+00:00,523.1599731445312,523.469970703125,522.75,522.969970703125,162102
2025-08-01 18:20:00+00:00,524.1799926757812,524.2100219726562,523.0349731445312,523.1500244140625,183135
2025-08-01 18:25:00+00:00,524.27001953125,524.4299926757812,523.9199829101562,524.1599731445312,208300
2025-08-01 18:30:00+00:00,524.3599853515625,524.85498046875,524.0999755859375,524.2750244140625,208695
2025-08-01 18:35:00+00:00,524.6799926757812,524.7249755859375,524.2200927734375,524.3699951171875,135423
2025-08-01 18:40:00+00:00,524.7100219726562,524.9749755859375,524.5599975585938,524.6799926757812,162887
2025-08-01 18:45:00+00:00,524.625,524.7899169921875,524.3569946289062,524.72998046875,123777
2025-08-01 18:50:00+00:00,524.1649780273438,524.6799926757812,524.0599975585938,524.6199951171875,164216
2025-08-01 18:55:00+00:00,524.5,524.780029296875,524.1599731445312,524.1699829101562,170808
2025-08-01 19:00:00+00:00,524.4000244140625,524.7100219726562,524.1699829101562,524.510009765625,131064
2025-08-01 19:05:00+00:00,524.469970703125,524.7999877929688,524.3599853515625,524.4000244140625,139413
2025-08-01 19:10:00+00:00,524.2000122070312,524.6500244140625,524.1500244140625,524.469970703125,170591
2025-08-01 19:15:00+00:00,524.6849975585938,524.7100219726562,523.9500122070312,524.2000122070312,257067
2025-08-01 19:20:00+00:00,524.260009765625,524.635009765625,523.8825073242188,524.6300048828125,189237
2025-08-01 19:25:00+00:00,524.1300048828125,524.2550048828125,523.6400146484375,524.25,227682
2025-08-01 19:30:00+00:00,523.9949951171875,524.2000122070312,523.219970703125,524.0549926757812,219016
2025-08-01 19:35:00+00:00,523.75,524.0900268554688,523.5599975585938,523.969970703125,229790
2025-08-01 19:40:00+00:00,524.1599731445312,524.364990234375,523.6599731445312,523.739990234375,215873
2025-08-01 19:45:00+00:00,525.0549926757812,525.0900268554688,523.9299926757812,524.2000122070312,306603
2025-08-01 19:50:00+00:00,524.5700073242188,525.8900146484375,523.7999877929688,525.1699829101562,468708
2025-08-01 19:55:00+00:00,524.0,524.8200073242188,523.6199951171875,524.5399780273438,1443388
2025-08-04 13:30:00+00:00,530.5750122070312,531.6699829101562,528.135009765625,528.1900024414062,1858756
2025-08-04 13:35:00+00:00,532.6400146484375,533.1500244140625,530.114990234375,530.5501098632812,547888
2025-08-04 13:40:00+00:00,534.4600219726562,534.5800170898438,532.6900024414062,532.6900024414062,539791
2025-08-04 13:45:00+00:00,535.0,535.27001953125,534.4000244140625,534.510009765625,632040
2025-08-04 13:50:00+00:00,535.280029296875,535.5499877929688,534.4500122070312,535.0750122070312,378181
2025-08-04 13:55:00+00:00,536.2525024414062,536.4000244140625,534.8499755859375,535.280029296875,388692
2025-08-04 14:00:00+00:00,535.6900024414062,536.4600219726562,535.3099975585938,536.22998046875,355734
2025-08-04 14:05:00+00:00,534.6699829101562,536.0050048828125,534.6458740234375,535.719970703125,281836
2025-08-04 14:10:00+00:00,534.7100219726562,535.1799926757812,534.510009765625,534.72998046875,298497
2025-08-04 14:15:00+00:00,534.5723876953125,535.1243286132812,534.3200073242188,534.7100219726562,271866
2025-08-04 14:20:00+00:00,534.5800170898438,535.4400024414062,534.5449829101562,534.6099853515625,231315
2025-08-04 14:25:00+00:00,535.0468139648438,535.6699829101562,534.5650024414062,534.5650024414062,189477
2025-08-04 14:30:00+00:00,535.9000244140625,535.9779052734375,534.739990234375,535.0150146484375,205011
2025-08-04 14:35:00+00:00,536.77001953125,536.8699951171875,535.7999877929688,535.8900146484375,359529
2025-08-04 14:40:00+00:00,535.7750244140625,536.8900146484375,535.5599975585938,536.8198852539062,335117
2025-08-04 14:45:00+00:00,534.9500122070312,535.89990234375,534.9000244140625,535.77001953125,233720
2025-08-04 14:50:00+00:00,534.400390625,534.969970703125,534.1701049804688,534.9000244140625,233618
2025-08-04 14:55:00+00:00,534.5399780273438,534.7399291992188,533.969970703125,534.4000244140625,196810
2025-08-04 15:00:00+00:00,534.1799926757812,534.6400146484375,533.8721923828125,534.6099853515625,160541
2025-08-04 15:05:00+00:00,534.489990234375,534.8400268554688,534.1199951171875,534.1199951171875,200799
2025-08-04 15:10:00+00:00,533.8900146484375,534.6799926757812,533.6400146484375,534.47998046875,181576
2025-08-04 15:15:00+00:00,533.4450073242188,534.0499267578125,533.3300170898438,533.85498046875,187133
2025-08-04 15:20:00+00:00,533.6199951171875,533.7100219726562,533.1900024414062,533.4450073242188,169493
2025-08-04 15:25:00+00:00,533.6300048828125,533.9299926757812,533.489990234375,533.6199951171875,190213
2025-08-04 15:30:00+00:00,534.0549926757812,534.1300048828125,533.2999877929688,533.6500244140625,152874
2025-08-04 15:35:00+00:00,533.7999877929688,534.041015625,533.573486328125,534.041015625,143405
2025-08-04 15:40:00+00:00,533.9349975585938,534.260009765625,533.6580200195312,533.8800048828125,173919
2025-08-04 15:45:00+00:00,534.9849853515625,535.02001953125,533.7899780273438,533.9899291992188,181033
2025-08-04 15:50:00+00:00,535.0900268554688,535.35498046875,534.7742919921875,535.02001953125,173427
2025-08-04 15:55:00+00:00,535.3900146484375,535.5599975585938,534.97998046875,535.1400146484375,255701
2025-08-04 16:00:00+00:00,535.6599731445312,535.8200073242188,535.260009765625,535.39501953125,169465
2025-08-04 16:05:00+00:00,535.6799926757812,535.7899780273438,535.4099731445312,535.6599731445312,131494
2025-08-04 16:10:00+00:00,535.760009765625,535.9149780273438,535.4600219726562,535.719970703125,126959
2025-08-04 16:15:00+00:00,536.589599609375,536.589599609375,535.7999877929688,535.8049926757812,222773
2025-08-04 16:20:00+00:00,537.239990234375,537.2498779296875,536.219970703125,536.5549926757812,289917
2025-08-04 16:25:00+00:00,536.72998046875,537.3099975585938,536.7000122070312,537.219970703125,241512
2025-08-04 16:30:00+00:00,537.0,537.0900268554688,536.60498046875,536.7899780273438,174043
2025-08-04 16:35:00+00:00,536.9400024414062,537.1500244140625,536.9000244140625,537.0,111171
2025-08-04 16:40:00+00:00,536.7449951171875,537.010009765625,536.5599975585938,536.9400024414062,155097
2025-08-04 16:45:00+00:00,537.0449829101562,537.1900024414062,536.72998046875,536.7659912109375,92835
2025-08-04 16:50:00+00:00,537.22998046875,537.3900146484375,536.9099731445312,537.0449829101562,106315
2025-08-04 16:55:00+00:00,537.0900268554688,537.260009765625,536.8400268554688,537.239990234375,107876
2025-08-04 17:00:00+00:00,537.0250244140625,537.219970703125,536.8400268554688,537.0999755859375,103414
2025-08-04 17:05:00+00:00,537.1849975585938,537.2449951171875,536.9199829101562,537.030029296875,85770
2025-08-04 17:10:00+00:00,537.1699829101562,537.239990234375,537.0499877929688,537.2000122070312,84584
2025-08-04 17:15:00+00:00,537.5050048828125,537.52001953125,537.0499877929688,537.1699829101562,138577
2025-08-04 17:20:00+00:00,537.239990234375,537.5399780273438,536.9650268554688,537.530029296875,125613
2025-08-04 17:25:00+00:00,537.2999877929688,537.5,537.1500854492188,537.219970703125,122012
2025-08-04 17:30:00+00:00,537.75,537.8200073242188,537.2874755859375,537.3400268554688,140763
2025-08-04 17:35:00+00:00,538.0028076171875,538.1900024414062,537.748779296875,537.75,176275
2025-08-04 17:40:00+00:00,537.8499755859375,538.1099853515625,537.75,538.010009765625,122101
2025-08-04 17:45:00+00:00,537.8300170898438,537.8800048828125,537.2000122070312,537.8200073242188,145266
2025-08-04 17:50:00+00:00,538.0599975585938,538.25,537.6417236328125,537.8250122070312,255460
2025-08-04 17:55:00+00:00,537.8099975585938,538.1900024414062,537.6900024414062,538.0599975585938,198512
2025-08-04 18:00:00+00:00,537.510009765625,537.969970703125,537.3099975585938,537.8099975585938,235493
2025-08-04 18:05:00+00:00,537.5399780273438,538.02001953125,537.4400024414062,537.5399780273438,276851
2025-08-04 18:10:00+00:00,537.419921875,537.6699829101562,537.2899780273438,537.5449829101562,168314
2025-08-04 18:15:00+00:00,537.0549926757812,537.5,537.0549926757812,537.4500122070312,198372
2025-08-04 18:20:00+00:00,537.1467895507812,537.2000122070312,536.6500244140625,537.0800170898438,195649
2025-08-04 18:25:00+00:00,537.510009765625,537.5399780273438,537.0,537.1900024414062,217445
2025-08-04 18:30:00+00:00,537.3098754882812,537.7899780273438,537.2449951171875,537.5031127929688,166499
2025-08-04 18:35:00+00:00,537.364990234375,537.4199829101562,537.0800170898438,537.239990234375,75971
2025-08-04 18:40:00+00:00,536.5700073242188,537.3699951171875,536.3699951171875,537.364990234375,189255
2025-08-04 18:45:00+00:00,536.3699951171875,536.5999755859375,536.1099853515625,536.5700073242188,211324
2025-08-04 18:50:00+00:00,535.89990234375,536.3699951171875,535.7999877929688,536.3699951171875,229014
2025-08-04 18:55:00+00:00,535.875,536.0,535.7000122070312,535.844970703125,212717
2025-08-04 19:00:00+00:00,535.9000244140625,536.260009765625,535.5250244140625,535.8699951171875,275706
2025-08-04 19:05:00+00:00,536.5499877929688,536.7550048828125,535.8499755859375,535.885009765625,274518
2025-08-04 19:10:00+00:00,536.219970703125,536.5499877929688,536.0999755859375,536.5499877929688,182810
2025-08-04 19:15:00+00:00,535.9793701171875,536.375,535.9199829101562,536.2050170898438,281607
2025-08-04 19:20:00+00:00,535.72998046875,536.0399780273438,535.6199951171875,535.9500122070312,197180
2025-08-04 19:25:00+00:00,535.0499877929688,535.75,534.9600219726562,535.72998046875,188669
2025-08-04 19:30:00+00:00,534.635009765625,534.9099731445312,534.3800048828125,534.77001953125,264571
2025-08-04 19:35:00+00:00,534.489990234375,534.6500244140625,534.0999755859375,534.6500244140625,239114
2025-08-04 19:40:00+00:00,534.3900146484375,534.5,534.0800170898438,534.4849853515625,338544
2025-08-04 19:45:00+00:00,534.60498046875,534.8499755859375,534.3599853515625,534.3599853515625,326417
2025-08-04 19:50:00+00:00,534.9299926757812,535.0900268554688,534.2150268554688,534.5700073242188,634053
2025-08-04 19:55:00+00:00,535.469970703125,535.6799926757812,534.8400268554688,534.9299926757812,1746292
2025-08-05 13:30:00+00:00,535.6099853515625,537.219970703125,535.5499877929688,537.219970703125,1278937
2025-08-05 13:35:00+00:00,535.969970703125,536.7000122070312,535.030029296875,535.5750122070312,460148
2025-08-05 13:40:00+00:00,535.760009765625,536.1500244140625,535.530029296875,535.9600219726562,408731
2025-08-05 13:45:00+00:00,535.0850219726562,536.010009765625,535.0599975585938,535.780029296875,281167
2025-08-05 13:50:00+00:00,535.9349975585938,535.971923828125,534.72998046875,535.1300048828125,273291
2025-08-05 13:55:00+00:00,535.280029296875,536.0999755859375,535.1400756835938,535.8701171875,229113
2025-08-05 14:00:00+00:00,534.6699829101562,535.2150268554688,534.0,535.1500244140625,379844
2025-08-05 14:05:00+00:00,534.6649780273438,534.97998046875,534.1849975585938,534.7000122070312,242576
2025-08-05 14:10:00+00:00,534.780029296875,534.8939819335938,534.6400146484375,534.6699829101562,208268
2025-08-05 14:15:00+00:00,534.22998046875,534.8900146484375,534.1900024414062,534.739990234375,253015
2025-08-05 14:20:00+00:00,533.9600219726562,534.3900146484375,533.8607177734375,534.3098754882812,171307
2025-08-05 14:25:00+00:00,534.0700073242188,534.22998046875,533.469970703125,533.97998046875,229343
2025-08-05 14:30:00+00:00,533.5599975585938,534.0700073242188,533.381591796875,534.0599975585938,217623
2025-08-05 14:35:00+00:00,533.260009765625,533.9299926757812,533.1599731445312,533.5599975585938,181535
2025-08-05 14:40:00+00:00,533.1849975585938,534.0,533.0499877929688,533.260009765625,329302
2025-08-05 14:45:00+00:00,532.1900024414062,533.3099975585938,532.1099853515625,533.1849975585938,287190
2025-08-05 14:50:00+00:00,532.25,532.7000122070312,532.0399780273438,532.27001953125,212770
2025-08-05 14:55:00+00:00,531.9099731445312,532.2849731445312,531.8101196289062,532.2849731445312,198229
2025-08-05 15:00:00+00:00,532.2349853515625,532.4299926757812,531.469970703125,531.8900146484375,269410
2025-08-05 15:05:00+00:00,532.3599853515625,532.9600219726562,532.2150268554688,532.2150268554688,230866
2025-08-05 15:10:00+00:00,532.3699951171875,532.510009765625,531.5,532.3200073242188,177871
2025-08-05 15:15:00+00:00,532.5700073242188,532.6599731445312,532.0499877929688,532.3800048828125,176563
2025-08-05 15:20:00+00:00,532.3150024414062,532.6199951171875,532.0,532.5999755859375,154463
2025-08-05 15:25:00+00:00,532.3685302734375,532.5748901367188,532.14599609375,532.2949829101562,95285
2025-08-05 15:30:00+00:00,532.097900390625,532.4990844726562,532.097900390625,532.3099975585938,88432
2025-08-05 15:35:00+00:00,531.4598999023438,532.1300048828125,531.3800048828125,532.1300048828125,140447
2025-08-05 15:40:00+00:00,531.4000244140625,531.5800170898438,530.7000122070312,531.3499755859375,125843
2025-08-05 15:45:00+00:00,531.4400024414062,532.0900268554688,531.4299926757812,531.4400024414062,123088
2025-08-05 15:50:00+00:00,532.010009765625,532.0802001953125,531.0850219726562,531.4000244140625,83272
2025-08-05 15:55:00+00:00,532.1500244140625,532.2305297851562,531.6799926757812,532.023681640625,119557
2025-08-05 16:00:00+00:00,532.0700073242188,532.1649780273438,531.719970703125,532.1099853515625,116061
2025-08-05 16:05:00+00:00,532.3099975585938,532.47998046875,532.010009765625,532.030029296875,199644
2025-08-05 16:10:00+00:00,532.8900146484375,532.9600219726562,532.2999877929688,532.2999877929688,132217
2025-08-05 16:15:00+00:00,532.9699096679688,533.0,532.7423706054688,532.9000244140625,94205
2025-08-05 16:20:00+00:00,532.97998046875,533.1900024414062,532.9099731445312,532.9349975585938,122953
2025-08-05 16:25:00+00:00,532.9400024414062,533.1696166992188,532.8400268554688,533.030029296875,63637
2025-08-05 16:30:00+00:00,532.905029296875,533.1900024414062,532.6599731445312,532.9149780273438,109725
2025-08-05 16:35:00+00:00,532.47998046875,532.9650268554688,532.3900146484375,532.9550170898438,73737
2025-08-05 16:40:00+00:00,532.0473022460938,532.4791870117188,531.780029296875,532.4400024414062,94902
2025-08-05 16:45:00+00:00,531.7100219726562,532.038818359375,531.5499877929688,532.010009765625,85631
2025-08-05 16:50:00+00:00,532.219970703125,532.239990234375,531.6400756835938,531.7385864257812,149024
2025-08-05 16:55:00+00:00,531.9299926757812,532.405029296875,531.6900024414062,532.22998046875,88678
2025-08-05 17:00:00+00:00,532.02001953125,532.1500244140625,531.8499755859375,531.9299926757812,81365
2025-08-05 17:05:00+00:00,532.0449829101562,532.4099731445312,531.9600219726562,532.094970703125,116329
2025-08-05 17:10:00+00:00,531.719970703125,532.0999755859375,531.6849975585938,532.0650024414062,88148
2025-08-05 17:15:00+00:00,531.7449951171875,531.8001098632812,531.3400268554688,531.8001098632812,112711
2025-08-05 17:20:00+00:00,531.635009765625,531.7100219726562,531.280029296875,531.7100219726562,87889
2025-08-05 17:25:00+00:00,531.594970703125,531.8049926757812,531.47998046875,531.60498046875,96770
2025-08-05 17:30:00+00:00,531.1799926757812,531.6699829101562,531.0501098632812,531.5750122070312,111300
2025-08-05 17:35:00+00:00,531.5750122070312,531.6500244140625,531.080078125,531.080078125,94945
2025-08-05 17:40:00+00:00,531.7999877929688,531.8499755859375,531.3499755859375,531.6300048828125,77471
